ar;veikindahlutfall;starfsmannavelta;legudagar;atvik;alvarleg;stodugildi;launakostnadur;f1;f2;f3;f4;f5
2007;6,6;15,7;2455155;;;3884;24051900;;;;;
2008;6,7;14,3;232570;;;3872;26103912;;;;;
2009;6,5;11,6;211917;;;3899;26701052;;;;;
2010;6,5;12;202605;;;3648;25494474;;;;;
2011;6,6;10,8;209587;;;3657;27061000;;;;;
2012;6,8;11,1;213264;2815;;3643;28810329;4884;43574;34358;12610;856
2013;6,8;11,1;215357;2982;;3667;31857791;3201;39565;41765;17697;1533
2014;6,4;10,4;219821;2957;;3752;34720000;3546;37646;44980;20120;1818
2015;6,5;11,7;224117;3647;;3739;38645000;3066;36014;44761;18238;1397
2016;7,1;12,2;228660;6176;;3951;43552000;2971;33772;45832;22094;1888
2017;7,1;15,1;224676;4097;17;4073;48415000;2,6;30,6;44,1;21,3;1,5
2018;7,3;16,0;220050;4325;14;4221;53863000;1,9;26,2;45,7;23,8;2,4
2019;7,8;14,3;219187;4423;12;4362;57605000;1,9;22,6;45,6;26,7;3,2
2020;7,5;13,8;204840;4552;10;4461;61524000;1,6;20,9;43,9;29,9;3,6
2021;8,4;15,8;214584;5188;17;4696;65529000;1,3;18,4;43,2;32,9;4,3
2022;11,8;16,6;;;;;;;;;;
